Month,Exchange,parameter,Trading_Days,IDX_CO,IDX_FUT,IDX_PO,STK_CO,STK_FUT,STK_PO,Total_Futures,Total_Options,Total_Derivatives
30/11/2012,NSE,Contracts,20,"3,15,29,901.00","61,69,741.00","3,06,96,054.00","38,49,301.00","1,22,03,483.00","21,24,794.00","1,83,73,224.00","6,82,00,050.00","8,65,73,274.00"
30/11/2012,NSE,Premium Turnover,20,0,,0,0,,0,0,0,0
30/11/2012,NSE,Turnover,20,"9,18,051.24","1,69,756.81","8,63,007.67","1,18,161.95","3,49,430.52","61,408.49","5,19,187.33","19,60,629.36","24,79,816.69"
31/12/2012,BSE,Contracts,20,"94,73,292.00","80,551.00","2,11,79,366.00","3,396.00",836,"9,695.00","81,387.00","3,06,65,749.00","3,07,47,136.00"
31/12/2012,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
31/12/2012,BSE,Turnover,20,"2,87,384.51","2,400.42","6,09,725.13",94.65,25.37,222.49,"2,425.79","8,97,426.78","8,99,852.56"
31/12/2012,NSE,Contracts,20,"3,32,53,763.00","60,81,895.00","3,04,29,780.00","38,42,161.00","1,28,74,846.00","18,97,239.00","1,89,56,741.00","6,94,22,943.00","8,83,79,684.00"
31/12/2012,NSE,Premium Turnover,20,0,,0,0,,0,0,0,0
31/12/2012,NSE,Turnover,20,"10,06,467.57","1,76,492.33","8,87,505.39","1,21,488.06","3,92,327.16","56,112.26","5,68,819.50","20,71,573.28","26,40,392.77"
31/01/2013,BSE,Contracts,23,"1,27,57,701.00","1,20,434.00","1,75,96,644.00","9,526.00","21,272.00","20,757.00","1,41,706.00","3,03,84,628.00","3,05,26,334.00"
31/01/2013,BSE,Premium Turnover,23,0,,0,0,,0,0,0,0
31/01/2013,BSE,Turnover,23,"3,99,388.60","3,673.65","5,18,795.08",322.75,669.62,591.72,"4,343.28","9,19,098.15","9,23,441.42"
31/01/2013,NSE,Contracts,23,"3,19,28,225.00","63,37,412.00","3,28,38,191.00","55,90,423.00","1,46,48,279.00","33,11,826.00","2,09,85,691.00","7,36,68,665.00","9,46,54,356.00"
31/01/2013,NSE,Premium Turnover,23,0,,0,0,,0,0,0,0
31/01/2013,NSE,Turnover,23,"9,86,534.51","1,90,094.39","9,80,383.73","1,93,297.39","4,95,365.62","1,05,299.52","6,85,460.01","22,65,515.15","29,50,975.16"
28/02/2013,BSE,Contracts,20,"28,50,615.00","1,18,539.00","48,03,163.00","29,304.00","20,615.00","39,094.00","1,39,154.00","77,22,176.00","78,61,330.00"
28/02/2013,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
28/02/2013,BSE,Turnover,20,"85,494.18","3,484.01","1,38,011.04",878.73,590.12,"1,011.74","4,074.12","2,25,395.69","2,29,469.81"
