Month,Trades_in_Lakh,Traded_Quantity_in_Lakh,Turnover_in_Crore,ADT_Crore,Avg_Trade_Size,Traded_Quantity_in_DEMAT_in_Lakh,DEMAT_Turnover_in_Crore,Market_Cap_in_Crore,Sensex_Nifty_Close,Market_Cap_BSE_in_Crore,Nifty_Index,Sensex_Index
31/08/2022,"4,513.64","6,70,818.53","12,71,856.33","63,592.82","28,178.06","6,70,818.53","12,71,856.33","2,79,20,932.14","77,296.37","2,80,24,621.83","17,759.30","59,537.07"
30/09/2022,"5,267.32","7,71,049.62","14,72,099.68","66,913.62","27,947.79","7,71,049.62","14,72,099.68","2,70,80,877.18","74,521.27","2,71,84,601.83","17,094.35","57,426.92"
31/10/2022,"3,706.25","5,10,802.51","9,96,471.99","52,445.89","26,886.26","5,10,802.51","9,96,471.99","2,78,84,558.39","78,758.79","2,79,91,936.92","18,012.20","60,746.59"
30/11/2022,"4,508.30","7,05,434.13","12,92,791.45","61,561.50","28,675.81","7,05,434.13","12,92,791.45","2,87,46,940.35","81,858.00","2,88,50,896.03","18,758.35","63,099.65"
31/12/2022,"4,865.98","10,28,259.94","12,47,635.02","56,710.68","25,639.95","10,28,259.94","12,47,634.99","2,81,28,764.43","78,946.04","2,82,38,247.93","18,105.30","60,840.74"
31/01/2023,"4,278.00","6,46,836.68","10,88,729.48","51,844.26","25,449.50","6,46,836.68","10,88,729.48","2,69,12,755.40","77,212.05","2,70,23,159.98","17,662.15","59,549.90"
28/02/2023,"4,370.33","5,24,990.16","10,76,055.84","53,802.80","24,621.84","5,24,990.16","10,76,055.84","2,56,77,861.94","76,266.07","2,57,72,501.40","17,303.95","58,962.12"
31/03/2023,"4,247.72","5,76,580.97","11,05,621.48","52,648.64","26,028.59","5,76,580.97","11,05,621.44","2,57,26,300.19","76,351.27","2,58,19,896.00","17,359.75","58,991.52"
30/04/2023,"3,247.00","4,58,582.46","9,30,933.72","54,760.81","28,670.58","4,58,582.46","9,30,933.72","2,71,00,674.39","79,177.44","2,71,82,858.92","18,065.00","61,112.44"
31/05/2023,"4,695.45","6,82,150.64","14,03,030.83","63,774.13","29,880.65","6,82,150.64","14,03,030.83","2,82,78,836.19","81,156.64","2,83,76,277.78","18,534.40","62,622.24"
30/06/2023,"4,857.96","7,66,325.66","14,17,305.66","67,490.75","29,174.91","7,66,325.66","14,17,305.66","2,95,54,046.88","83,907.61","2,96,48,153.59","19,189.05","64,718.56"
31/07/2023,"5,529.59","8,35,210.65","16,24,075.22","77,336.92","29,370.63","8,35,210.65","16,24,075.19","3,05,74,650.58","86,281.47","3,06,66,348.99","19,753.80","66,527.67"
31/08/2023,"6,292.39","10,76,517.73","18,35,810.77","83,445.95","29,175.10","10,76,517.73","18,35,810.77","3,08,42,010.29","84,085.21","3,09,59,138.70","19,253.80","64,831.41"
30/09/2023,"6,109.82","12,35,259.13","17,94,945.46","89,747.28","29,378.04","12,35,259.13","17,94,945.45","3,17,93,861.29","85,466.71","3,19,06,871.94","19,638.30","65,828.41"
