Month,NSEBANK Index,NSEIT Index,NSEAUTO Index,NSEFIN Index,NSEFMCG Index,NSEPSBK Index,NSEPHRM Index,NSEMET Index,NSEREAL Index,NSEPSE Index,NSEMDSM Index,DEFTY Index,NIFTYJR Index,NSE200 Index,INVIXN Index,NIFTYM50 Index,NSE100 Index,NIFTY Index,S&P500 Index,NIFTYTR Index,CPSE Index,NSECON Index,NIFTYS Index,NSEPBANK Index,NSEINFR Index,NSEAP Index,NSESRV Index,NSEMED Index,NSEMNC Index,NSECMD Index,NSEMNCTR Index,NSEPSUTR Index,BSESML Index,BSEMID Index,BSE500 Index
31/10/1956,,,,,,,,,,,,,,,,,,,45.58,,,,,,,,,,,,,,,,
30/09/1956,,,,,,,,,,,,,,,,,,,45.35,,,,,,,,,,,,,,,,
31/08/1956,,,,,,,,,,,,,,,,,,,47.51,,,,,,,,,,,,,,,,
31/07/1956,,,,,,,,,,,,,,,,,,,49.39,,,,,,,,,,,,,,,,
30/06/1956,,,,,,,,,,,,,,,,,,,46.97,,,,,,,,,,,,,,,,
31/05/1956,,,,,,,,,,,,,,,,,,,45.2,,,,,,,,,,,,,,,,
30/04/1956,,,,,,,,,,,,,,,,,,,48.38,,,,,,,,,,,,,,,,
31/03/1956,,,,,,,,,,,,,,,,,,,48.48,,,,,,,,,,,,,,,,
29/02/1956,,,,,,,,,,,,,,,,,,,45.34,,,,,,,,,,,,,,,,
31/01/1956,,,,,,,,,,,,,,,,,,,43.82,,,,,,,,,,,,,,,,
31/12/1955,,,,,,,,,,,,,,,,,,,45.48,,,,,,,,,,,,,,,,
30/11/1955,,,,,,,,,,,,,,,,,,,45.51,,,,,,,,,,,,,,,,
31/10/1955,,,,,,,,,,,,,,,,,,,42.34,,,,,,,,,,,,,,,,
30/09/1955,,,,,,,,,,,,,,,,,,,43.67,,,,,,,,,,,,,,,,
31/08/1955,,,,,,,,,,,,,,,,,,,43.18,,,,,,,,,,,,,,,,
31/07/1955,,,,,,,,,,,,,,,,,,,43.52,,,,,,,,,,,,,,,,
30/06/1955,,,,,,,,,,,,,,,,,,,41.03,,,,,,,,,,,,,,,,
31/05/1955,,,,,,,,,,,,,,,,,,,37.91,,,,,,,,,,,,,,,,
30/04/1955,,,,,,,,,,,,,,,,,,,37.96,,,,,,,,,,,,,,,,
31/03/1955,,,,,,,,,,,,,,,,,,,36.58,,,,,,,,,,,,,,,,
28/02/1955,,,,,,,,,,,,,,,,,,,36.76,,,,,,,,,,,,,,,,
31/01/1955,,,,,,,,,,,,,,,,,,,36.63,,,,,,,,,,,,,,,,
31/12/1954,,,,,,,,,,,,,,,,,,,35.98,,,,,,,,,,,,,,,,
30/11/1954,,,,,,,,,,,,,,,,,,,34.24,,,,,,,,,,,,,,,,
